source,path_hash,ratio_kbd,ratio_vorbis,ratio_max
library,59704190cfea78e6,1.1461,1.2088,1.2088
library,599f78eaa2af25b8,1.1801,1.2830,1.2830
library,59d436ef0db99551,1.1446,1.1779,1.1779
library,5b9fc3bba49a8ea1,1.1807,1.2695,1.2695
library,5da637ed85d36406,1.2381,1.2047,1.2381
library,5dbe3c60a8b46743,1.3544,1.1879,1.3544
library,5e4c59862c1c80f3,1.2771,1.3827,1.3827
library,5e9d8d20b48cc7e0,1.2544,1.1758,1.2544
library,5f4b09ccb839ee21,1.1852,1.2561,1.2561
library,5f59f73495206f4e,1.3214,1.3133,1.3214
library,5f87e69a21666f96,2.4179,1.8687,2.4179
library,5fb5860a6f1e366c,1.2716,1.2439,1.2716
library,604b67906574566b,1.3140,1.2500,1.3140
library,609ad1a06bca142b,1.2632,1.1953,1.2632
library,60dba8deb05b5a5c,1.1951,1.2750,1.2750
library,60eb4a6cae6c1b90,1.2686,1.2093,1.2686
library,61329ac198fb3f8f,1.1492,1.2626,1.2626
library,61671e496e481f55,1.3212,1.2381,1.3212
library,618354f1195473f0,1.2739,1.1950,1.2739
library,61cf709a1e27bdd0,1.1646,1.2000,1.2000
library,6296d38ec60ab127,1.2375,1.1875,1.2375
library,6296e7edab515c4b,1.4795,1.3425,1.4795
library,62977994ebefa8b7,1.1976,1.3497,1.3497
library,632c143ecc0cbfc2,1.3865,1.2242,1.3865
library,636854dd15b985fb,1.2716,1.2222,1.2716
library,636d9085cc2dc077,1.2500,1.2045,1.2500
library,63e0568bcff58bd7,1.2000,1.3780,1.3780
library,6431488f43817e7a,1.2222,1.2821,1.2821
library,6483158b321d0bed,1.2439,1.3580,1.3580
library,64abb09667f159e2,1.2067,1.2131,1.2131
library,64c7d973232aa887,1.2387,1.2532,1.2532
library,65709551d6cc5abd,1.1959,1.2284,1.2284
library,6617e26078efc3b1,1.1273,1.1807,1.1807
library,664ca4f8ac8b1a9d,1.2606,1.2738,1.2738
library,665bc01a0dc96462,1.1786,1.2370,1.2370
library,668355fa7c2ece08,1.2273,1.2697,1.2697
library,670d2a816dec35dd,1.1737,1.2469,1.2469
library,67b3a3c952645ae9,1.2250,1.2422,1.2422
library,68120e26cce1254d,1.1617,1.2289,1.2289
library,68e9e283a4e5b527,1.2090,1.1910,1.2090
library,695824e9bd5389db,1.2976,1.1976,1.2976
library,69817d140cf6de78,1.3174,1.1534,1.3174
library,69dff314f634a505,1.1807,1.2308,1.2308
library,6a42b1a49d14fcfa,1.2208,1.2318,1.2318
library,6aef4128da13d8a9,1.2118,1.2069,1.2118
library,6b3f6f99de5ef60c,1.2357,1.1921,1.2357
library,6b5ecc18fecf6c4d,1.1737,1.2934,1.2934
library,6bdce6273fa412ad,1.1739,1.2131,1.2131
library,6c53a57a67a52d4e,1.2229,1.2727,1.2727
library,6d4d3d7a7fab9e9a,1.1951,1.1975,1.1975
library,6e2c38cf853bcdda,1.2529,1.2738,1.2738
library,6e9206e9d29613e1,1.2637,1.1477,1.2637
library,6efccb2a8ab7e3c2,1.1519,1.2549,1.2549
library,6f781951692941d0,1.2571,1.1955,1.2571
library,7024581440d03c79,1.3026,1.1925,1.3026
library,707753e3f10bdfc2,1.2121,1.1786,1.2121
library,712708ef6e8f4b75,1.1566,1.2530,1.2530
library,712b5b10450edcd3,1.1834,1.2927,1.2927
library,716163a53d001d9e,1.3165,1.2516,1.3165
library,71de87a20edc0e44,1.1519,1.1572,1.1572
library,723239b7e64afac4,1.1687,1.3620,1.3620
library,725f87ad43b8dec4,1.3488,1.2588,1.3488
library,729513dc1dd1fc48,1.2073,1.2025,1.2073
