arm,file,verdict,score,families
mp3_192,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,FAKE_CERTAIN,86,cnn+spectral
mp3_192,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,WARNING,36,cnn
mp3_192,039-13-Kat-Onoma-Change-blues.flac,FAKE_CERTAIN,86,cnn+spectral
mp3_320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,AUTHENTIC,0,temporal
mp3_320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,WARNING,31,cnn+temporal
mp3_320,002-03-Hraach-Let-it-go.flac,WARNING,31,cnn
mp3_320,003-01-Thor-Dari-lullaby.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,005-17-Los-Seven-Del-Swing-Celoso.flac,FAKE_CERTAIN,81,cnn+spectral
mp3_320,006-09-Mahmoud-Ahmed-Tezeta.flac,AUTHENTIC,0,temporal
mp3_320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,WARNING,31,cnn
mp3_320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,WARNING,53,cnn+spectral+temporal
mp3_320,009-03-Ilya-Beshevli-To-solitude.flac,AUTHENTIC,0,temporal
mp3_320,010-06-Jon-Hassell-These-times.flac,AUTHENTIC,0,temporal
mp3_320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,WARNING,31,cnn+temporal
mp3_320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,FAKE_CERTAIN,81,cnn+spectral
mp3_320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,AUTHENTIC,0,temporal
mp3_320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,AUTHENTIC,0,temporal
mp3_320,015-08-Jos-Gonz-lez-Vissel.flac,AUTHENTIC,0,temporal
mp3_320,016-03-Memory-Tapes-Green-knight.flac,WARNING,31,cnn
mp3_320,017-13-Cafe-Del-Mar-Submariner.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,018-04-Bag-o-wire-Resovoir.flac,AUTHENTIC,10,temporal
mp3_320,019-04-Kohi-Jadu.flac,AUTHENTIC,19,temporal
mp3_320,020-06-Bola-Tigantabame.flac,WARNING,31,cnn+temporal
mp3_320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,FAKE_CERTAIN,81,cnn+spectral
mp3_320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,WARNING,31,cnn+temporal
mp3_320,023-01-Yusef-Lateef-Buddy-and-lou.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,AUTHENTIC,23,cnn+temporal
mp3_320,025-07-Bolalar-Lola.flac,FAKE_CERTAIN,80,cnn+spectral
mp3_320,026-06-Oumou-Dioubat-Siyala.flac,WARNING,31,cnn+temporal
mp3_320,027-01-Dimlite-Kitty-Cradle-Fog.flac,FAKE_CERTAIN,80,cnn+spectral
mp3_320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,AUTHENTIC,0,
mp3_320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,AUTHENTIC,8,temporal
mp3_320,030-06-S-bastien-Tellier-Benny.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,031-07-Shkoon-Just-Emma-Id.flac,AUTHENTIC,0,temporal
mp3_320,032-05-2kilos-more-Cache-feu.flac,WARNING,31,cnn+temporal
mp3_320,033-01-Daylight-Rising.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,034-09-Snow-Ghosts-Bowline.flac,AUTHENTIC,30,spectral
mp3_320,035-16-Slow-Air-In-Dropped-D.flac,AUTHENTIC,0,temporal
mp3_320,036-08-Nicolas-Comment-Amaurose.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,FAKE_CERTAIN,80,cnn+spectral+temporal
mp3_320,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,WARNING,31,cnn
