orig_idx,kind,is_transcode,src_rolloff_bucket,model_fp_orig,p_transcoded,cutoff_freq,cutoff_std,energy_ratio,real_bitrate_kbps,bit_depth,apparent_bitrate_kbps,comp_ratio
54,mp3_320,1,7-10k,1,0.7602,16750,0.0,2e-08,549.7,16,1411.0,0.3896
54,mp3_v0,1,7-10k,1,0.8795,16000,117.9,1e-08,554.8,16,1411.0,0.3932
55,authentic,0,<4k,1,0.674,22050.0,0.0,4e-08,447.6,16,1411.0,0.3172
55,mp3_128,1,<4k,1,0.7329,16500,0.0,0.0,411.1,16,1411.0,0.2914
55,mp3_320,1,<4k,1,0.672,20250,0.0,3e-08,457.1,16,1411.0,0.3239
55,mp3_v0,1,<4k,1,0.6875,16250,2734.1,0.0,436.3,16,1411.0,0.3092
50,authentic,0,>=14k,1,0.8446,20000,0.0,5.365e-05,1066.8,16,1411.0,0.7561
50,mp3_128,1,>=14k,1,0.9497,16750,0.0,1.898e-05,1032.8,16,1411.0,0.7319
50,mp3_320,1,>=14k,1,0.8623,20000,117.9,5.405e-05,1094.6,16,1411.0,0.7758
50,mp3_v0,1,>=14k,1,0.7783,20000,0.0,5.599e-05,1095.8,16,1411.0,0.7766
51,authentic,0,>=14k,1,0.5354,21000,117.9,0.00092468,1060.2,16,1411.0,0.7514
51,mp3_128,1,>=14k,1,0.9105,16750,0.0,0.00011475,992.9,16,1411.0,0.7037
51,mp3_320,1,>=14k,1,0.7615,20250,0.0,0.00086161,1072.5,16,1411.0,0.7601
51,mp3_v0,1,>=14k,1,0.5471,21000,117.9,0.00096222,1073.2,16,1411.0,0.7606
58,authentic,0,10-14k,0,0.4759,22050.0,0.0,0.00018821,893.9,16,1411.0,0.6335
58,mp3_128,1,10-14k,0,0.9191,16750,0.0,5.102e-05,838.8,16,1411.0,0.5945
58,mp3_320,1,10-14k,0,0.6946,20000,117.9,0.00018312,899.6,16,1411.0,0.6376
58,mp3_v0,1,10-14k,0,0.4455,22050.0,0.0,0.00019706,892.5,16,1411.0,0.6325
59,authentic,0,>=14k,1,0.9261,20250,0.0,0.00048118,1029.4,16,1411.0,0.7296
59,mp3_128,1,>=14k,1,0.9519,16750,0.0,9.779e-05,1138.7,16,1411.0,0.807
59,mp3_320,1,>=14k,1,0.9239,20250,0.0,0.00048283,1210.2,16,1411.0,0.8577
59,mp3_v0,1,>=14k,1,0.9594,20250,0.0,0.0004913,1209.8,16,1411.0,0.8574
60,authentic,0,<4k,1,0.5347,21250,377.1,8e-08,654.0,16,1411.0,0.4635
60,mp3_128,1,<4k,1,0.5717,16000,117.9,0.0,749.0,16,1411.0,0.5308
60,mp3_320,1,<4k,1,0.5423,20000,117.9,7e-08,818.7,16,1411.0,0.5802
60,mp3_v0,1,<4k,1,0.532,19250,408.2,0.0,765.0,16,1411.0,0.5422
61,authentic,0,4-7k,0,0.0637,22050.0,0.0,1.68e-06,397.3,16,1411.0,0.2816
61,mp3_128,1,4-7k,0,0.9624,16750,0.0,1.7e-07,387.6,16,1411.0,0.2747
61,mp3_320,1,4-7k,0,0.9239,20250,0.0,1.36e-06,413.6,16,1411.0,0.2931
61,mp3_v0,1,4-7k,0,0.1583,22050.0,0.0,1.81e-06,413.2,16,1411.0,0.2929
64,authentic,0,4-7k,1,0.7737,22050.0,0.0,1.2e-07,428.2,16,1411.0,0.3035
64,mp3_128,1,4-7k,1,0.9146,16750,0.0,2e-08,502.4,16,1411.0,0.356
64,mp3_320,1,4-7k,1,0.8209,20000,117.9,1.2e-07,517.3,16,1411.0,0.3666
64,mp3_v0,1,4-7k,1,0.8685,22050.0,0.0,1.4e-07,516.3,16,1411.0,0.3659
65,authentic,0,<4k,1,0.6069,22050.0,0.0,5e-08,696.7,16,1411.0,0.4938
65,mp3_128,1,<4k,1,0.8736,16500,117.9,0.0,605.3,16,1411.0,0.429
65,mp3_320,1,<4k,1,0.6156,20250,0.0,4e-08,677.2,16,1411.0,0.48
65,mp3_v0,1,<4k,1,0.6684,21250,117.9,1e-08,637.3,16,1411.0,0.4517
66,authentic,0,4-7k,1,0.789,22050.0,0.0,2.4e-07,735.6,16,1411.0,0.5213
66,mp3_128,1,4-7k,1,0.9482,16000,235.7,0.0,702.5,16,1411.0,0.4979
66,mp3_320,1,4-7k,1,0.7469,20250,0.0,2e-07,741.2,16,1411.0,0.5253
66,mp3_v0,1,4-7k,1,0.7326,22050.0,0.0,2.9e-07,740.3,16,1411.0,0.5247
67,authentic,0,4-7k,1,0.607,22050.0,0.0,1.9e-07,349.9,16,1411.0,0.248
