arm,file,seam,seam_hz,cutoff_hz
aacmf_256,039-13-Kat-Onoma-Change-blues.flac,11.3756,3025,18615
aac_ff320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,7.2947,4177,15299
aac_ff320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,8.9479,3575,19218
aac_ff320,002-03-Hraach-Let-it-go.flac,6.7292,12177,22050
aac_ff320,003-01-Thor-Dari-lullaby.flac,7.0252,3531,22050
aac_ff320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,8.9955,3994,21630
aac_ff320,005-17-Los-Seven-Del-Swing-Celoso.flac,5.8528,5082,17550
aac_ff320,006-09-Mahmoud-Ahmed-Tezeta.flac,22.8224,6137,22050
aac_ff320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,13.3667,15784,18325
aac_ff320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,6.1892,3618,16860
aac_ff320,009-03-Ilya-Beshevli-To-solitude.flac,34.7532,3639,22050
aac_ff320,010-06-Jon-Hassell-These-times.flac,19.5198,3004,22050
aac_ff320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,5.0095,3973,22039
aac_ff320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,20.5186,5879,20510
aac_ff320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,24.9524,3833,22039
aac_ff320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,7.9916,6568,10691
aac_ff320,015-08-Jos-Gonz-lez-Vissel.flac,29.7334,3004,22050
aac_ff320,016-03-Memory-Tapes-Green-knight.flac,4.8847,16085,22050
aac_ff320,017-13-Cafe-Del-Mar-Submariner.flac,8.0018,3553,22050
aac_ff320,018-04-Bag-o-wire-Resovoir.flac,6.0959,3219,21630
aac_ff320,019-04-Kohi-Jadu.flac,15.1000,3187,20930
aac_ff320,020-06-Bola-Tigantabame.flac,4.5081,5609,18669
aac_ff320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,5.8235,3768,20478
aac_ff320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,9.3039,3359,21264
aac_ff320,023-01-Yusef-Lateef-Buddy-and-lou.flac,6.2615,9991,20963
aac_ff320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,9.4972,3736,22050
aac_ff320,025-07-Bolalar-Lola.flac,5.6665,8280,20984
aac_ff320,026-06-Oumou-Dioubat-Siyala.flac,6.4461,11585,20435
aac_ff320,027-01-Dimlite-Kitty-Cradle-Fog.flac,12.3014,4436,22050
aac_ff320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,26.9886,3984,21802
aac_ff320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,9.9084,8936,18346
aac_ff320,030-06-S-bastien-Tellier-Benny.flac,6.0940,3208,22028
aac_ff320,031-07-Shkoon-Just-Emma-Id.flac,10.9367,13792,22050
aac_ff320,032-05-2kilos-more-Cache-feu.flac,10.7110,5071,22050
aac_ff320,033-01-Daylight-Rising.flac,5.8187,4005,21382
aac_ff320,034-09-Snow-Ghosts-Bowline.flac,5.1128,7946,21146
