file,stratum,reference_db,edge_20db_hz,edge_40db_hz
fd-exchange-v3-setA-r2-0243,band_limited_synthetic,-87.25,14357.3,15433.9
fd-exchange-v3-setA-r2-0244,full_band,-89.17,20106.6,20445.8
fd-exchange-v3-setA-r2-0245,band_limited_synthetic,-87.15,14271.1,14658.7
fd-exchange-v3-setA-r2-0246,full_band,-94.90,,
fd-exchange-v3-setA-r2-0247,band_limited_synthetic,-93.82,14556.4,15676.2
fd-exchange-v3-setA-r2-0248,full_band,-98.06,20160.5,20537.3
fd-exchange-v3-setA-r2-0249,full_band,-98.47,16505.2,
fd-exchange-v3-setA-r2-0250,full_band,-91.74,20149.7,20241.2
fd-exchange-v3-setA-r2-0251,full_band,-94.93,20138.9,20483.5
fd-exchange-v3-setA-r2-0252,full_band,-94.79,,
fd-exchange-v3-setA-r2-0253,band_limited_synthetic,-83.63,14416.5,15089.4
fd-exchange-v3-setA-r2-0254,full_band,-98.08,,
fd-exchange-v3-setA-r2-0255,full_band,-76.44,22050.0,
fd-exchange-v3-setA-r2-0256,band_limited_synthetic,-87.44,14545.7,15896.9
fd-exchange-v3-setA-r2-0257,full_band,-84.90,16655.9,20020.5
fd-exchange-v3-setA-r2-0258,full_band,-76.36,20095.9,20214.3
fd-exchange-v3-setA-r2-0259,full_band,-96.85,20149.7,20510.4
fd-exchange-v3-setA-r2-0260,full_band,-96.57,,
fd-exchange-v3-setA-r2-0261,full_band,-94.78,,
fd-exchange-v3-setA-r2-0262,full_band,-95.85,20149.7,20257.4
fd-exchange-v3-setA-r2-0263,full_band,-84.14,21016.4,21355.6
fd-exchange-v3-setA-r2-0264,band_limited_synthetic,-83.77,14502.6,15875.4
fd-exchange-v3-setA-r2-0265,full_band,-84.39,15972.3,16758.2
fd-exchange-v3-setA-r2-0266,band_limited_synthetic,-85.07,14578.0,15595.4
fd-exchange-v3-setA-r2-0267,full_band,-81.40,14217.3,18777.0
fd-exchange-v3-setA-r2-0268,full_band,-96.16,,
fd-exchange-v3-setA-r2-0269,full_band,-76.39,,
fd-exchange-v3-setA-r2-0270,band_limited_synthetic,-81.50,14529.5,15891.5
fd-exchange-v3-setA-r2-0271,full_band,-97.11,,
fd-exchange-v3-setA-r2-0272,full_band,-93.55,21640.9,22050.0
fd-exchange-v3-setA-r2-0273,full_band,-96.00,,
fd-exchange-v3-setA-r2-0274,band_limited_synthetic,-85.58,14325.0,15676.2
fd-exchange-v3-setA-r2-0275,band_limited_synthetic,-83.92,14497.2,15590.0
fd-exchange-v3-setA-r2-0276,full_band,-81.42,14185.0,20844.1
fd-exchange-v3-setA-r2-0277,full_band,-89.10,22023.1,
fd-exchange-v3-setA-r2-0278,band_limited_synthetic,-87.44,14438.0,15821.5
fd-exchange-v3-setA-r2-0279,full_band,-94.51,,
fd-exchange-v3-setA-r2-0280,full_band,-93.47,17334.2,18104.0
fd-exchange-v3-setA-r2-0281,full_band,-89.13,20165.8,20510.4
fd-exchange-v3-setA-r2-0282,full_band,-83.99,21027.2,21404.0
fd-exchange-v3-setA-r2-0283,band_limited_synthetic,-84.86,14346.5,15407.0
fd-exchange-v3-setA-r2-0284,band_limited_synthetic,-86.12,14621.0,15950.7
fd-exchange-v3-setA-r2-0285,full_band,-93.12,18900.8,20375.8
fd-exchange-v3-setA-r2-0286,full_band,-96.73,,
fd-exchange-v3-setA-r2-0287,full_band,-98.08,,
fd-exchange-v3-setA-r2-0288,band_limited_synthetic,-86.16,14583.4,16451.4
