orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,mod38_full,mod38_side,mod38_hf,mod76_full,mod76_hf,inband_flat_tstd,side_flat_tstd,side_energy_cv,flux_mean,flux_std
46,mp3_128,1,5506.8,1,1,0.011297,0.042673,0.019999,0.001756,0.009887,0.018948,0.041382,0.1709,7.9423,9.016
46,mp3_320,1,5506.8,1,1,0.011338,0.036058,0.02011,0.001765,0.009707,0.022643,0.052382,0.264,8.359,9.4875
46,mp3_v0,1,5506.8,1,1,0.01132,0.020567,0.020143,0.001768,0.009748,0.022648,0.343147,1.5609,8.3603,9.4894
47,authentic,0,3428.2,1,1,0.003466,0.002292,0.031083,0.005969,0.005259,0.019515,0.025717,0.9734,9.8636,4.3394
47,mp3_128,1,3428.2,1,1,0.003548,0.002351,0.028205,0.005952,0.004859,0.019614,0.021651,0.9738,9.3754,4.1239
47,mp3_320,1,3428.2,1,1,0.003475,0.002295,0.031124,0.005966,0.005241,0.019272,0.024481,0.9732,9.8636,4.3392
47,mp3_v0,1,3428.2,1,1,0.003467,0.002295,0.031061,0.005948,0.005275,0.020335,0.025589,0.9734,9.8641,4.3397
40,authentic,0,5941.9,1,1,0.007666,0.022714,0.022193,0.005888,0.008366,0.00023,0.000523,1.4346,8.5612,5.6941
40,mp3_128,1,5941.9,1,1,0.007941,0.022858,0.022017,0.006016,0.007994,0.000217,0.00035,1.4313,8.123,5.4021
40,mp3_320,1,5941.9,1,1,0.007654,0.022673,0.022234,0.00589,0.008338,0.000209,0.00046,1.4348,8.5607,5.6936
40,mp3_v0,1,5941.9,1,1,0.007629,0.02254,0.02199,0.005914,0.008347,0.000134,0.000386,1.4362,8.5612,5.6937
41,authentic,0,6875.3,1,1,0.010277,0.012045,0.027408,0.007489,0.005587,0.068006,0.070175,0.8459,11.1325,5.9103
41,mp3_128,1,6875.3,1,1,0.010218,0.011684,0.025256,0.00752,0.005303,0.061833,0.062263,0.8459,10.5791,5.6164
41,mp3_320,1,6875.3,1,1,0.010229,0.012028,0.027234,0.00752,0.00563,0.069445,0.071062,0.8457,11.1323,5.9092
41,mp3_v0,1,6875.3,1,1,0.010279,0.01196,0.027311,0.007486,0.005571,0.06801,0.070084,0.8456,11.1337,5.9118
50,authentic,0,3352.2,1,1,0.001608,0.00385,0.00049,0.005834,5.1e-05,0.014658,0.090066,0.9164,1.6075,0.8117
50,mp3_128,1,3352.2,1,1,0.00161,0.003937,0.000716,0.005887,0.000126,0.028447,0.089337,0.9174,1.5279,0.771
50,mp3_320,1,3352.2,1,1,0.001609,0.003852,0.000499,0.005849,5.2e-05,0.02064,0.089503,0.9163,1.6076,0.8118
50,mp3_v0,1,3352.2,1,1,0.00161,0.003855,0.000429,0.005811,6.9e-05,0.023203,0.088049,0.9162,1.6077,0.8119
51,authentic,0,5084.2,1,0,0.006324,0.0,0.002359,0.003082,0.001628,0.039973,0.0,0.0,10.1734,3.7961
51,mp3_128,1,5084.2,1,0,0.006313,0.0,0.002266,0.003074,0.001699,0.039971,0.0,0.0,9.6651,3.6065
