track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
06 - Jordi Savall -  Concert xlii le raporté (dalain).flac,44100,22050.0,5.478e-06,0.0,nan,726
02 - Xploding Plastix -  Funnybones & lazylegs.flac,44100,21500.0,4.567e-05,117.9,nan,1069
12 - Roger Molls -  Ghost town.flac,44100,20250.0,3.052e-05,0.0,-69.9,934
18 - Moondog -  Shakespeare city.flac,44100,21000.0,2.669e-07,495.0,nan,724
06 - Tor -  Wonder dog.flac,44100,19500.0,1.468e-06,0.0,-50.9,969
"04 - Ketama, Toumani Diabate, Jose Soto -  Monte de los Suspiros.flac",44100,22050.0,4.276e-05,0.0,nan,748
05 - Confrérie Ali Amani -  Alifun qabla.flac,44100,21500.0,2.810e-06,117.9,nan,915
11 - Blues Run the Game.flac,44100,19750.0,7.143e-08,117.9,-35.9,652
02 - Goya Project -  Lamento (sunset rework).flac,44100,21750.0,1.823e-06,141.4,nan,897
16 - Mark Pritchard -  Mark pritchard.flac,44100,22050.0,3.428e-07,0.0,nan,625
04 - Crystal Castles -  Magic spells.flac,44100,22050.0,9.710e-08,0.0,nan,771
15 - Super Furry Animals -  Download.flac,44100,19500.0,3.926e-09,1202.1,-38.6,715
02 - Touareg de Fewet -  Chetma.flac,44100,18750.0,3.928e-05,0.0,-39.4,889
05 And Nina.flac,44100,22050.0,4.637e-07,0.0,nan,841
03 - Papillon (feat. Garden Gnome) -  Papillon (radio edit).flac,44100,21250.0,1.749e-04,117.9,nan,963
09 - Responded Love Song.flac,44100,20500.0,1.872e-06,117.9,-38.4,831
23 - Cat Stevens -  Peace train.flac,44100,20250.0,9.807e-06,0.0,-46.1,811
09 - Sigur Rós -  Von.flac,44100,21000.0,1.033e-07,495.0,nan,662
Omar Souleyman - 0109 - Kaset Hanzel (Drinking From The Glass Of Bitterness).flac,44100,19000.0,1.604e-06,117.9,-48.9,881
61 - Marga Sol -  Be mine.flac,44100,22050.0,3.286e-06,0.0,nan,848
05 - National Seven.flac,44100,19250.0,4.144e-08,0.0,-40.9,677
06 - Wolfgang Amadeus Mozart -  Laudate dominum (vesperare solennes de confessore).flac,44100,22050.0,6.082e-08,0.0,nan,585
10 - James 'Yank' Rachel and Shirley Griffith -  Peach orchard mama.flac,44100,22050.0,1.462e-07,0.0,nan,518
16 - Roger Molls -  The outro.flac,44100,22050.0,5.400e-06,0.0,nan,598
05 - Maisha -  Kamuacha mume wake.flac,44100,19750.0,2.060e-07,117.9,-34.7,818
05 - Lux -  Northern lights.flac,44100,21250.0,1.315e-04,0.0,nan,808
05 - Hamid Baroudi -  Tea in Marrakech.flac,44100,21750.0,1.247e-04,141.4,nan,963
11 - Ganga -  Carry you home (original mix).flac,44100,22050.0,7.508e-06,0.0,nan,987
02. Malikah feat. Zoog - Intikhabeit 2009 .flac,44100,21500.0,5.723e-06,117.9,nan,973
09 - 2kilos &more -  Second season.flac,44100,22050.0,8.571e-07,0.0,nan,739
05 - The Funkees -  Breakthrough.flac,44100,17000.0,1.368e-08,589.3,nan,528
07 - Orange Blossom -  Good bye kô.flac,44100,21000.0,1.025e-05,117.9,nan,765
13 - Swen G -  Morning light (coffee shop remix).flac,44100,21000.0,1.024e-06,0.0,nan,933
09 - African Jazz-Tabu Ley -  Pesa le tout.flac,44100,22050.0,9.682e-07,0.0,nan,610
17 - Charif Megarbane -  Jana.flac,44100,22050.0,2.644e-07,0.0,nan,758
