arm,file,geometry,ratio,offset
mp3_192,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_frame_1152,1.8800,321
mp3_192,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,mp3_granule_576,2.0000,143
mp3_192,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,aac_2048,1.4878,710
mp3_192,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_frame_1152,1.7308,287
mp3_192,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,mp3_granule_576,1.8333,79
mp3_192,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,aac_2048,1.5581,759
mp3_192,009-03-Ilya-Beshevli-To-solitude.flac,mp3_frame_1152,1.7037,301
mp3_192,009-03-Ilya-Beshevli-To-solitude.flac,mp3_granule_576,2.2500,60
mp3_192,009-03-Ilya-Beshevli-To-solitude.flac,aac_2048,1.5652,949
mp3_192,010-06-Jon-Hassell-These-times.flac,mp3_frame_1152,1.7500,311
mp3_192,010-06-Jon-Hassell-These-times.flac,mp3_granule_576,2.1818,106
mp3_192,010-06-Jon-Hassell-These-times.flac,aac_2048,1.5750,378
mp3_192,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_frame_1152,1.6800,287
mp3_192,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,mp3_granule_576,1.7500,210
mp3_192,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,aac_2048,1.6667,984
mp3_192,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_frame_1152,1.6250,279
mp3_192,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,mp3_granule_576,1.9091,13
mp3_192,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,aac_2048,1.5238,79
mp3_192,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_frame_1152,1.8750,260
mp3_192,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,mp3_granule_576,1.9091,1
