source,arm,ratio,offset,hypothesis,lattice,temporal,stereo
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t01.flac,coreaudio_128,2.0300,960,vorbis,1.0732,0.8545,1.1732
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t01.flac,coreaudio_256,1.2195,348,vorbis,1.0305,0.4242,1.1667
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t01.flac,coreaudio_320,1.4286,707,vorbis,1.0328,0.4633,0.0000
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t02.flac,genuine,1.2299,499,vorbis,1.0349,0.2925,1.0000
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t02.flac,coreaudio_128,1.3578,960,kbd,1.0596,0.7939,2.6694
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t02.flac,coreaudio_256,1.3023,669,kbd,1.0332,0.3026,2.4199
mmsm2006-11-11-akg461.flac16__mmsm2006-11-11-akg461d1t02.flac,coreaudio_320,1.3374,567,vorbis,1.0284,0.3017,1.0000
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,genuine,1.2593,370,vorbis,1.0318,0.2083,0.0000
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,coreaudio_128,1.9465,960,vorbis,1.0733,0.3195,1.0556
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,coreaudio_256,1.2469,572,kbd,1.0313,0.3036,1.0000
moe2004-10-29.at4051a.flac__moe2004-10-29set1t01.flac,coreaudio_320,1.2683,37,vorbis,1.0387,0.2066,1.0000
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,genuine,1.3614,119,vorbis,1.0278,0.5492,1.0000
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,coreaudio_128,1.6444,960,vorbis,1.0784,0.8993,1.9845
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,coreaudio_256,1.3333,960,vorbis,1.0468,0.5566,1.7778
moe2004-10-29.at4051a.flac__moe2004-10-29set1t02.flac,coreaudio_320,1.1591,828,kbd,1.0355,0.5575,1.0000
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,genuine,1.2469,207,kbd,1.0339,0.3977,1.5647
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,coreaudio_128,1.6517,960,kbd,1.0813,0.7893,19.0072
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,coreaudio_256,1.2047,442,kbd,1.0329,0.4073,11.0000
mss2003-12-31.flac16f__mss2003-12-31d1t01.flac,coreaudio_320,1.2455,906,vorbis,1.0480,0.3955,1.5130
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,genuine,1.3580,628,vorbis,1.0449,0.4127,1.2000
mss2003-12-31.flac16f__mss2003-12-31d1t02.flac,coreaudio_128,1.7870,960,vorbis,1.0626,0.8698,18.8452
