population,track,sample_rate,cutoff,energy_ratio,cutoff_std,residual_floor_db,container_kbps
genuine_wild,calexico2023-11-02__Calexico_2023-11-02t02.flac,44100,22050.0,5.105e-06,0.0,nan,725
genuine_wild,crisjacobs2026-06-13__cris2026-06-13d01t01.flac,44100,22050.0,2.788e-07,0.0,nan,490
genuine_wild,crisjacobs2026-06-13__cris2026-06-13d01t02.flac,44100,22050.0,5.138e-08,0.0,nan,607
genuine_wild,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t01.flac,44100,22050.0,5.083e-08,0.0,nan,373
genuine_wild,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t02.flac,44100,19500.0,3.542e-08,540.1,-34.4,667
genuine_wild,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t03.flac,44100,20500.0,4.529e-08,589.3,-27.4,661
genuine_wild,dknowles2009-07-02.BSC1-K3.setboy.flac1644__backdoorslam2009-07-02d1t04.flac,44100,20750.0,3.513e-08,424.9,nan,650
genuine_wild,dknowles2015-11-11.ZoomH5.Toddjun.flac16__01-Intro.flac,96000,48000.0,9.634e-06,0.0,nan,942
genuine_wild,dknowles2015-11-11.ZoomH5.Toddjun.flac16__02-Ain't Much of Nothin'.flac,96000,48000.0,4.816e-06,0.0,nan,1395
genuine_wild,dknowles2015-11-12.ZoomH5.Toddjun.flac16__01-Intro.flac,96000,48000.0,4.342e-05,0.0,nan,908
genuine_wild,dknowles2015-11-12.ZoomH5.Toddjun.flac16__02-Catch the Moon.flac,96000,48000.0,2.411e-06,0.0,nan,1357
genuine_wild,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t01.flac,44100,22050.0,3.112e-07,0.0,nan,929
genuine_wild,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t02.flac,44100,22050.0,6.970e-07,0.0,nan,885
genuine_wild,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t03.flac,44100,22050.0,2.036e-07,0.0,nan,810
genuine_wild,dknowles2016-01-13.mk-4.edtyre.flac16__davyknowles2016-01-13.mk4.edtyre.t04.flac,44100,22050.0,2.560e-07,0.0,nan,922
genuine_wild,dknowles2017-07-29.ZoomH5.Toddjun.flac1644__01-Intro.flac,96000,48000.0,1.505e-07,0.0,nan,910
genuine_wild,dknowles2017-07-29.ZoomH5.Toddjun.flac1644__02-Catch the Moon.flac,96000,48000.0,4.154e-08,0.0,nan,1183
genuine_wild,dknowles2018-02-11.CCM4V.Z-Man.flac16__davy2018-02-11d01t01.flac,44100,18750.0,1.424e-06,1555.6,-28.3,696
genuine_wild,dknowles2018-02-11.CCM4V.Z-Man.flac16__davy2018-02-11d01t02.flac,44100,22050.0,4.834e-06,0.0,nan,885
genuine_wild,dknowles2021-10-16.SP-CMC-8c.Farve4.flac1644__101 Aint Much of Nothin.flac,44100,22050.0,6.276e-06,0.0,nan,852
genuine_wild,dknowles2021-10-16.SP-CMC-8c.Farve4.flac1644__102 Riverbed.flac,44100,22050.0,4.346e-06,0.0,nan,861
genuine_wild,dknowles2021-10-20.mk41.dude.flac16__davyknowles2021-10-20.mk41.dude.t01.flac,44100,22050.0,7.304e-06,0.0,nan,893
genuine_wild,dknowles2021-10-20.mk41.dude.flac16__davyknowles2021-10-20.mk41.dude.t02.flac,44100,22050.0,1.315e-06,0.0,nan,760
genuine_wild,dknowles2022-07-21.mk41v.edtyre.flac16__davyknowles2022-07-21.mk41v.edtyre.t01.flac,48000,24000.0,1.102e-05,0.0,nan,985
genuine_wild,dknowles2022-07-21.mk41v.edtyre.flac16__davyknowles2022-07-21.mk41v.edtyre.t02.flac,48000,24000.0,1.102e-05,0.0,nan,1018
genuine_wild,dknowles2024-11-13.mk41v.edtyre.flac16__davyknowles2024-11-13.mk41v.edtyre.t01.flac,44100,21000.0,8.235e-06,117.9,nan,875
genuine_wild,dknowles2024-11-13.mk41v.edtyre.flac16__davyknowles2024-11-13.mk41v.edtyre.t02.flac,44100,21250.0,1.901e-06,0.0,nan,804
genuine_wild,ginblossoms2026-08-11__01 Follow You Down.flac,44100,20750.0,1.394e-05,117.9,nan,482
genuine_wild,ginblossoms2026-08-11__02 Hold Me Down.flac,44100,20500.0,1.875e-06,117.9,-43.0,459
genuine_wild,ginblossoms2026-08-11__03 Learning The Hard Way.flac,44100,20500.0,9.542e-06,730.7,-46.3,493
genuine_wild,ginblossoms2026-08-11__04 Mrs_ Rita.flac,44100,20750.0,7.987e-05,0.0,nan,469
genuine_wild,jcommon2008-11-09.flac16__jcommon2008-11-09t01.flac,44100,22050.0,7.362e-07,0.0,nan,672
genuine_wild,jcommon2008-11-09.flac16__jcommon2008-11-09t02.flac,44100,22050.0,4.036e-06,0.0,nan,826
genuine_wild,jcommon2009-01-10.dpa4060.flac16__jcommon2009-01-10dpa4060_t01.flac,44100,22050.0,8.590e-06,0.0,nan,933
genuine_wild,jcommon2009-01-10.dpa4060.flac16__jcommon2009-01-10dpa4060_t02.flac,44100,22050.0,4.676e-06,0.0,nan,891
genuine_wild,jcommon2009-01-10.m300.flac16__jcommon2009-01-10mg300_t01.flac,44100,21250.0,1.579e-07,377.1,nan,793
genuine_wild,jcommon2009-01-10.m300.flac16__jcommon2009-01-10mg300_t02.flac,44100,19000.0,1.238e-07,1291.2,-19.8,750
genuine_wild,joecirotti2026-08-01.matrix2__01 intro.flac,48000,24000.0,1.869e-07,0.0,nan,611
genuine_wild,joecirotti2026-08-01.matrix2__02 My Sisters and Brothers.flac,48000,24000.0,2.949e-06,0.0,nan,723
genuine_wild,joecirotti2026-08-01.matrix__01 intro.flac,48000,24000.0,1.869e-07,0.0,nan,611
genuine_wild,joecirotti2026-08-01.matrix__02 My Sisters and Brothers.flac,48000,24000.0,2.949e-06,0.0,nan,723
genuine_wild,kgb2026-08-08__06 Band Intros.flac,44100,22050.0,5.028e-06,0.0,nan,1355
genuine_wild,kgb2026-08-08__07 My Sisters and Brothers.flac,44100,22050.0,3.177e-05,0.0,nan,1591
genuine_wild,lettuce2026-06-13__lettuce2026-06-13d01t01.flac,44100,22050.0,1.737e-07,0.0,nan,633
genuine_wild,lettuce2026-06-13__lettuce2026-06-13d01t02.flac,44100,22050.0,9.593e-08,0.0,nan,665
genuine_wild,lettuce2026-06-13__lettuce2026-06-13d01t03.flac,44100,22050.0,2.791e-07,0.0,nan,710
genuine_wild,lettuce2026-06-13__lettuce2026-06-13d01t04.flac,44100,22050.0,1.583e-07,0.0,nan,619
genuine_wild,lf2025-05-10.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_00001.flac,48000,21750.0,7.022e-07,117.9,-40.3,860
genuine_wild,lf2025-05-10.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_00002.flac,48000,22000.0,2.190e-06,117.9,-57.5,920
genuine_wild,lf2025-05-28.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_0001.flac,48000,20750.0,9.498e-08,0.0,-22.9,878
genuine_wild,lf2025-05-28.AUD-MTX.Cafiero.Doctorzap.flac1648__LF_0002.flac,48000,21000.0,6.491e-07,0.0,-38.1,862
genuine_wild,mc2026-08-09.-KM140-B30mni__MC_20260809_KM140-B2_S01-01.flac,44100,22050.0,4.055e-06,0.0,nan,766
genuine_wild,mc2026-08-09.-KM140-B30mni__MC_20260809_KM140-B2_S01-02.flac,44100,22050.0,5.024e-07,0.0,nan,724
genuine_wild,mc2026-08-09.RODENT5-ZOOMH6-FLAC8__101. Don't Do It.flac,96000,48000.0,1.392e-05,0.0,nan,1308
genuine_wild,mc2026-08-09.RODENT5-ZOOMH6-FLAC8__105. Dream.flac,96000,48000.0,4.059e-07,0.0,nan,1247
genuine_wild,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t01.flac,44100,22050.0,1.773e-07,0.0,nan,753
genuine_wild,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t02.flac,44100,22050.0,1.475e-06,0.0,nan,798
genuine_wild,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t03.flac,44100,22050.0,3.440e-06,0.0,nan,802
genuine_wild,mdgogojungle2009-10-29.mk012.flac16__gogojungle2009-10-29t04.flac,44100,22050.0,1.874e-06,0.0,nan,763
genuine_wild,moe2026-08-13.neumann__moe2026-08-13d1t01.flac,44100,20250.0,8.100e-07,117.9,-19.8,807
genuine_wild,moe2026-08-13.neumann__moe2026-08-13d1t02.flac,44100,20250.0,3.342e-07,738.2,-31.1,800
genuine_wild,mofro2026-08-07.at853.f3__01)  Higher You Climb.flac,48000,24000.0,1.439e-07,0.0,nan,767
genuine_wild,mofro2026-08-07.at853.f3__02)  War.flac,48000,24000.0,9.265e-08,0.0,nan,813
genuine_wild,pachy2025-04-25__pachy2025-04-25d1t01.flac,44100,22050.0,1.225e-05,0.0,nan,942
genuine_wild,pachy2025-04-25__pachy2025-04-25d1t02.flac,44100,22050.0,3.626e-05,0.0,nan,1050
genuine_wild,pachy2025-07-31__pachy2025-07-31d1t01.flac,44100,18750.0,1.244e-06,0.0,-28.9,567
genuine_wild,pachy2025-07-31__pachy2025-07-31d1t02.flac,44100,18500.0,1.669e-06,1617.8,nan,571
genuine_wild,"rad2000-04-08.dsb.mossa.flac1644__rads 2000-04-08. dsb. Irving Plaza, NYC.s01t01.flac",44100,22050.0,2.215e-06,0.0,nan,466
genuine_wild,"rad2000-04-08.dsb.mossa.flac1644__rads 2000-04-08. dsb. Irving Plaza, NYC.s01t03.flac",44100,22050.0,6.964e-06,0.0,nan,718
genuine_wild,"rad2000-04-28.dsb.mossa.flac1644__rads 2000-04-28. dsb. Tips, NO, LA.s01t01.flac",44100,22050.0,2.010e-07,0.0,nan,501
genuine_wild,"rad2000-04-28.dsb.mossa.flac1644__rads 2000-04-28. dsb. Tips, NO, LA.s01t02.flac",44100,22050.0,1.057e-05,0.0,nan,818
genuine_wild,"rad2001-03-08.dsb.nutmeg.mossa.flac1644__rads2001-03-08. dsb. Winter Park, CO.s01t01.flac",44100,21500.0,8.936e-05,224.8,nan,806
genuine_wild,"rad2001-03-08.dsb.nutmeg.mossa.flac1644__rads2001-03-08. dsb. Winter Park, CO.s01t02.flac",44100,21750.0,1.276e-04,0.0,nan,758
genuine_wild,spin2026-08-11__01 Rock 'N' Roll Heaven.flac,44100,20750.0,3.982e-06,563.2,nan,460
genuine_wild,spin2026-08-11__02 What Time Is It.flac,44100,19750.0,5.977e-07,957.7,-39.1,468
genuine_wild,spin2026-08-11__03 She Stands Alone.flac,44100,20250.0,1.481e-05,848.5,-23.5,468
genuine_wild,spin2026-08-11__04 How Could You Want Him (When You Know You Could Have Me).flac,44100,20500.0,2.467e-06,204.1,-30.8,423
genuine_wild,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-01 this low.flac,44100,20500.0,4.853e-06,730.7,-17.0,844
genuine_wild,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-02 blue eyes crying.flac,44100,22050.0,1.721e-05,0.0,nan,727
genuine_wild,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-03 felling the pull.flac,44100,20250.0,2.310e-05,0.0,-31.5,979
genuine_wild,swellseason2010-02-10.cm30.Hoegert.flac16__the swell season - vienna-100210-CD1-04 low rising.flac,44100,20500.0,2.110e-06,730.7,-17.0,855
genuine_wild,tha2026-06-13__thehip2026-06-13d01t01.flac,44100,22050.0,4.026e-06,0.0,nan,434
genuine_wild,tha2026-06-13__thehip2026-06-13d01t02.flac,44100,22050.0,2.796e-07,0.0,nan,701
genuine_wild,tha2026-06-13__thehip2026-06-13d01t03.flac,44100,17750.0,2.457e-07,2027.0,nan,674
genuine_wild,tha2026-06-13__thehip2026-06-13d01t04.flac,44100,21250.0,5.374e-07,235.7,nan,720
genuine_wild,tsp1996-05-11.aud1__Smashing Pumpkins 1996-05-11 AUD1 t01 Mellon Collie and the Infinite Sadness.flac,32000,16000.0,0.000e+00,0.0,nan,504
genuine_wild,tsp1996-05-11.aud1__Smashing Pumpkins 1996-05-11 AUD1 t02 Where Boys Fear to Tread.flac,32000,16000.0,0.000e+00,0.0,nan,643
genuine_wild,um2026-08-13.neumann__um2026-08-13d1t01.flac,44100,22050.0,9.136e-08,0.0,nan,757
