arm,file,max_run,mean_run,max_run_rel,stereo_ratio,mono_gated
aacmf_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,4.5000,3.5201,4.0000,0.1418,False
aacmf_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,6.0000,6.0392,4.0000,0.9381,False
aacmf_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.0000,0.0000,0.0000,3.1773,False
aacmf_256,025-07-Bolalar-Lola.flac,69.0000,14.2500,33.0000,0.2504,False
aacmf_256,026-06-Oumou-Dioubat-Siyala.flac,25.0000,8.7071,4.0000,0.3009,False
aacmf_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,2.0000,3.0000,50.5000,0.2985,False
aacmf_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.0000,1.7321,0.0000,0.0179,False
aacmf_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,55.0000,16.9444,4.0000,0.6707,False
aacmf_256,030-06-S-bastien-Tellier-Benny.flac,6.0000,11.1528,7.0000,0.4589,False
aacmf_256,031-07-Shkoon-Just-Emma-Id.flac,5.0000,3.4000,1.0000,0.8179,False
aacmf_256,032-05-2kilos-more-Cache-feu.flac,1.0000,0.0000,0.0000,0.3314,False
aacmf_256,033-01-Daylight-Rising.flac,54.5000,10.5382,4.0000,0.1751,False
aacmf_256,034-09-Snow-Ghosts-Bowline.flac,0.5000,8.1455,11.0000,0.3235,False
aacmf_256,035-16-Slow-Air-In-Dropped-D.flac,9.0000,2.3871,0.0000,0.2935,False
aacmf_256,036-08-Nicolas-Comment-Amaurose.flac,4.5000,5.4891,2.0000,0.0770,False
aacmf_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,5.0000,1.2183,0.0000,0.0288,False
aacmf_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.0000,0.0000,1.0000,0.1132,False
aacmf_256,039-13-Kat-Onoma-Change-blues.flac,108.5000,5.4603,1.0000,0.2857,False
opus_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
opus_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1.0000,25.3333,1.0000,0.7569,False
opus_256,002-03-Hraach-Let-it-go.flac,1.0000,19.1667,2.0000,0.2821,False
opus_256,003-01-Thor-Dari-lullaby.flac,1.0000,17.5635,2.0000,0.2995,False
opus_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.0000,17.0000,10.0000,0.6793,False
opus_256,005-17-Los-Seven-Del-Swing-Celoso.flac,22.0000,19.1339,5.0000,0.0831,False
opus_256,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
opus_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.0000,11.5357,9.0000,0.2747,False
opus_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1.0000,21.3750,4.0000,0.3174,False
opus_256,009-03-Ilya-Beshevli-To-solitude.flac,2.0000,8.3750,1.0000,1.3321,False
opus_256,010-06-Jon-Hassell-These-times.flac,10.0000,1.2601,1.0000,3.0097,False
opus_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,65.5000,2.1622,0.0000,1.1638,False
opus_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.0000,22.2083,13.0000,0.6917,False
opus_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,0.0000,17.5982,0.0000,0.0000,False
opus_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
opus_256,015-08-Jos-Gonz-lez-Vissel.flac,5.0000,4.4226,2.0000,0.1365,False
opus_256,016-03-Memory-Tapes-Green-knight.flac,4.0000,10.7460,1.0000,1.0845,False
opus_256,017-13-Cafe-Del-Mar-Submariner.flac,1.0000,20.1667,15.0000,0.4790,False
opus_256,018-04-Bag-o-wire-Resovoir.flac,nan,nan,nan,0.0000,True
opus_256,019-04-Kohi-Jadu.flac,1.0000,23.8333,3.0000,0.6346,False
opus_256,020-06-Bola-Tigantabame.flac,21.0000,14.1833,11.0000,0.0530,False
opus_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.0000,22.5000,15.0000,0.6816,False
opus_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,5.0000,3.3793,4.0000,0.1416,False
opus_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.0000,8.3750,5.0000,0.9409,False
opus_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,23.5000,1.7165,1.0000,3.1780,False
opus_256,025-07-Bolalar-Lola.flac,59.0000,19.6190,35.0000,0.2521,False
opus_256,026-06-Oumou-Dioubat-Siyala.flac,29.5000,17.1181,5.0000,0.3015,False
opus_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.0000,13.9167,44.5000,0.2982,False
opus_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.0000,1.8966,0.0000,0.0183,False
opus_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,67.0000,20.7738,4.0000,0.6712,False
opus_256,030-06-S-bastien-Tellier-Benny.flac,1.0000,21.4000,17.5000,0.4599,False
opus_256,031-07-Shkoon-Just-Emma-Id.flac,3.0000,15.5278,1.0000,0.8238,False
opus_256,032-05-2kilos-more-Cache-feu.flac,55.0000,19.8333,1.0000,0.3322,False
opus_256,033-01-Daylight-Rising.flac,56.0000,18.7750,6.0000,0.1752,False
opus_256,034-09-Snow-Ghosts-Bowline.flac,1.0000,19.7738,10.5000,0.3239,False
opus_256,035-16-Slow-Air-In-Dropped-D.flac,8.0000,2.7825,0.0000,0.2934,False
opus_256,036-08-Nicolas-Comment-Amaurose.flac,1.0000,18.5357,4.0000,0.0771,False
opus_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,5.0000,15.4018,1.0000,0.0289,False
opus_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,0.0000,0.0000,0.0000,0.1124,False
opus_256,039-13-Kat-Onoma-Change-blues.flac,62.0000,20.6905,3.0000,0.2842,False
aac_ff320,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,nan,nan,nan,0.0000,True
aac_ff320,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1.0000,1.5000,2.0000,0.7516,False
aac_ff320,002-03-Hraach-Let-it-go.flac,7.5000,2.0690,1.0000,0.2814,False
aac_ff320,003-01-Thor-Dari-lullaby.flac,11.0000,1.6458,2.5000,0.2993,False
aac_ff320,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.0000,1.6125,3.0000,0.6733,False
aac_ff320,005-17-Los-Seven-Del-Swing-Celoso.flac,1.0000,1.5000,1.0000,0.0833,False
aac_ff320,006-09-Mahmoud-Ahmed-Tezeta.flac,nan,nan,nan,0.0000,True
aac_ff320,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,4.0000,1.6360,4.0000,0.2723,False
aac_ff320,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,17.0000,3.6000,4.0000,0.3162,False
aac_ff320,009-03-Ilya-Beshevli-To-solitude.flac,2.0000,1.0000,0.0000,1.3310,False
aac_ff320,010-06-Jon-Hassell-These-times.flac,0.0000,0.0000,0.0000,3.0074,False
aac_ff320,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,2.0000,1.0000,0.0000,1.1549,False
aac_ff320,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,3.0000,2.0000,6.0000,0.6869,False
aac_ff320,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,1.0000,0.0000,3.0000,0.0001,False
aac_ff320,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,nan,nan,nan,0.0000,True
aac_ff320,015-08-Jos-Gonz-lez-Vissel.flac,0.0000,0.0000,0.0000,0.1365,False
aac_ff320,016-03-Memory-Tapes-Green-knight.flac,8.0000,1.6528,1.0000,1.0823,False
aac_ff320,017-13-Cafe-Del-Mar-Submariner.flac,1.0000,0.0000,0.0000,0.4819,False
aac_ff320,018-04-Bag-o-wire-Resovoir.flac,6.0000,1.1111,0.0000,0.0002,False
aac_ff320,019-04-Kohi-Jadu.flac,2.0000,1.0000,0.0000,0.6339,False
aac_ff320,020-06-Bola-Tigantabame.flac,1.0000,1.0000,1.0000,0.0552,False
aac_ff320,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,0.0000,8.1250,15.0000,0.6743,False
aac_ff320,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,0.0000,1.0000,0.0000,0.1419,False
aac_ff320,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.0000,5.2917,4.0000,0.9372,False
aac_ff320,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.0000,0.0000,0.0000,3.1723,False
aac_ff320,025-07-Bolalar-Lola.flac,1.0000,2.0000,1.0000,0.2505,False
aac_ff320,026-06-Oumou-Dioubat-Siyala.flac,8.0000,1.6333,3.0000,0.3009,False
aac_ff320,027-01-Dimlite-Kitty-Cradle-Fog.flac,0.0000,0.0000,0.0000,0.2978,False
aac_ff320,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.0000,1.0000,0.0000,0.0180,False
aac_ff320,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,0.0000,0.0000,0.0000,0.6704,False
aac_ff320,030-06-S-bastien-Tellier-Benny.flac,2.0000,1.0000,1.0000,0.4595,False
aac_ff320,031-07-Shkoon-Just-Emma-Id.flac,13.0000,1.7143,1.0000,0.8528,False
aac_ff320,032-05-2kilos-more-Cache-feu.flac,3.0000,1.0000,0.0000,0.3332,False
aac_ff320,033-01-Daylight-Rising.flac,2.0000,1.0000,1.0000,0.1755,False
aac_ff320,034-09-Snow-Ghosts-Bowline.flac,0.0000,0.0000,0.0000,0.3197,False
aac_ff320,035-16-Slow-Air-In-Dropped-D.flac,4.0000,1.5670,0.0000,0.2936,False
