orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,side_mid_ratio,lr_corr,ro_mid,ro_side,side_to_mid_rolloff,holes_inband,flatness_inband,side_flatness_inband,terrace_peakfrac,preecho_pct,aliasing_corr,mp3_pattern
22,mp3_128,1,5513.9,1,1,0.095124,0.8338,2454.8,2540.9,1.0351,0.14286,0.036218,0.083198,0.16964,19.41,0.3772,0
22,mp3_320,1,5513.9,1,1,0.09505,0.8339,2433.3,2627.1,1.0796,0.14414,0.036454,0.081577,0.16216,19.41,0.3862,0
22,mp3_v0,1,5513.9,1,1,0.095057,0.8339,2411.7,2605.5,1.0804,0.13636,0.0374,0.083103,0.16364,18.93,0.3865,0
23,authentic,0,5982.9,1,1,0.009389,0.9817,7062.9,3251.5,0.4604,0.55828,0.010903,0.000502,0.13804,85.71,0.1212,0
23,mp3_128,1,5982.9,1,1,0.009395,0.9817,7062.9,3230.0,0.4573,0.55521,0.011558,0.000572,0.15337,85.71,0.1031,0
23,mp3_320,1,5982.9,1,1,0.009388,0.9817,7062.9,3423.8,0.4848,0.55828,0.010907,0.000559,0.13804,85.71,0.1245,0
23,mp3_v0,1,5982.9,1,1,0.009393,0.9817,7062.9,3380.7,0.4787,0.55828,0.011373,0.000603,0.14724,85.71,0.1286,0
24,authentic,0,3596.5,1,1,0.32802,0.5068,3553.0,3983.6,1.1212,0.0,0.238078,0.444396,0.17791,0.0,0.1766,0
24,mp3_128,1,3596.5,1,1,0.328866,0.5058,3531.4,3897.5,1.1037,0.0,0.242924,0.454686,0.18519,14.29,0.25,0
24,mp3_320,1,3596.5,1,1,0.328015,0.5068,3553.0,3962.1,1.1152,0.0,0.238093,0.444492,0.17791,0.0,0.1866,0
24,mp3_v0,1,3596.5,1,1,0.32808,0.5067,3531.4,3919.0,1.1098,0.0,0.240298,0.449896,0.17901,0.0,0.3148,0
25,authentic,0,6292.6,1,1,0.022364,0.9858,8441.0,11671.0,1.3827,0.24615,0.082734,0.049854,0.19744,57.14,0.0922,0
25,mp3_128,1,6292.6,1,1,0.022393,0.9858,8419.5,10400.5,1.2353,0.24165,0.084852,0.035277,0.18509,62.5,0.1238,0
25,mp3_320,1,6292.6,1,1,0.022363,0.9858,8441.0,11412.6,1.352,0.24615,0.082747,0.050939,0.2,62.5,0.0914,0
25,mp3_v0,1,6292.6,1,1,0.022428,0.9858,8419.5,11369.5,1.3504,0.24422,0.083157,0.051323,0.19537,57.14,0.0925,0
30,authentic,0,4837.7,1,0,0.0,1.0,4478.9,0.0,0.0,0.0,0.290059,0.999996,0.21359,100.0,0.0456,0
30,mp3_128,1,4837.7,1,0,0.0,1.0,4263.6,0.0,0.0,0.0,0.322053,0.999997,0.22449,100.0,0.274,0
30,mp3_320,1,4837.7,1,0,0.0,1.0,4371.2,0.0,0.0,0.0,0.305462,1.0,0.21891,100.0,0.0463,0
30,mp3_v0,1,4837.7,1,0,0.0,1.0,4478.9,0.0,0.0,0.0,0.290156,0.999996,0.21359,100.0,0.0384,0
31,authentic,0,3901.0,1,1,1.052778,-0.0285,3811.4,3445.3,0.904,0.0,0.143108,0.214386,0.22286,35.29,0.1675,0
31,mp3_128,1,3901.0,1,1,1.048304,-0.0262,3746.8,3423.8,0.9138,0.0,0.150362,0.224731,0.2093,60.0,0.1931,0
31,mp3_320,1,3901.0,1,1,1.052841,-0.0286,3789.8,3423.8,0.9034,0.0,0.143955,0.217231,0.21839,27.78,0.1813,0
31,mp3_v0,1,3901.0,1,1,1.052501,-0.0284,3768.3,3423.8,0.9086,0.0,0.14517,0.219948,0.21387,41.18,0.2707,0
28,authentic,0,5002.4,1,1,0.233873,0.6211,2648.6,4220.5,1.5935,0.15702,0.03383,0.061245,0.12397,5.88,0.1471,0
28,mp3_128,1,5002.4,1,1,0.233857,0.6211,2476.3,3553.0,1.4348,0.10619,0.04258,0.076355,0.12389,22.22,0.2083,0
28,mp3_320,1,5002.4,1,1,0.233853,0.6211,2584.0,4048.2,1.5667,0.15254,0.036307,0.065132,0.12712,5.88,0.1497,0
28,mp3_v0,1,5002.4,1,1,0.233967,0.621,2454.8,3725.2,1.5175,0.10714,0.043018,0.07524,0.13393,8.82,0.2522,0
29,authentic,0,6230.4,1,1,3e-06,1.0,6826.0,21748.5,3.1861,0.06984,0.02596,0.594361,0.22857,100.0,0.0405,0
29,mp3_128,1,6230.4,1,1,0.0,1.0,6416.9,20198.1,3.1477,0.01014,0.028998,0.971118,0.23986,100.0,0.0801,0
29,mp3_320,1,6230.4,1,1,2e-06,1.0,6675.3,19875.1,2.9774,0.0487,0.027006,0.958844,0.23052,100.0,0.0412,0
29,mp3_v0,1,6230.4,1,1,3e-06,1.0,6481.5,21683.9,3.3455,0.02007,0.028429,0.948108,0.23746,100.0,0.0549,0
32,authentic,0,3937.1,1,1,0.420308,0.4204,4155.9,4220.5,1.0155,0.0,0.090125,0.079434,0.17801,94.12,0.1397,0
32,mp3_128,1,3937.1,1,1,0.421247,0.4194,4091.3,4242.0,1.0368,0.0,0.094222,0.088647,0.18085,100.0,0.1299,0
32,mp3_320,1,3937.1,1,1,0.420286,0.4204,4134.4,4199.0,1.0156,0.0,0.090865,0.080135,0.17895,94.12,0.1537,0
32,mp3_v0,1,3937.1,1,1,0.420319,0.4204,4112.8,4199.0,1.0209,0.0,0.091805,0.08154,0.17989,94.12,0.1608,0
33,authentic,0,4835.9,1,1,0.012971,0.9917,5318.7,8720.9,1.6397,0.1551,0.050064,0.132762,0.14694,84.72,0.0583,0
33,mp3_128,1,4835.9,1,1,0.013165,0.9909,5318.7,6460.0,1.2146,0.1551,0.050436,0.12906,0.14694,84.51,0.0867,0
33,mp3_320,1,4835.9,1,1,0.012975,0.9917,5297.2,8311.8,1.5691,0.15164,0.050557,0.134365,0.14754,84.51,0.0566,0
33,mp3_v0,1,4835.9,1,1,0.012993,0.9916,5254.1,8247.2,1.5697,0.14876,0.051413,0.135712,0.13636,83.1,0.0804,0
34,authentic,0,4052.1,1,0,0.0,1.0,4263.6,0.0,0.0,0.06122,0.046802,0.999997,0.13776,28.0,0.2149,0
34,mp3_128,1,4052.1,1,0,0.0,1.0,4134.4,0.0,0.0,0.06316,0.048002,0.999997,0.12632,26.92,0.298,0
34,mp3_320,1,4052.1,1,0,0.0,1.0,4220.5,0.0,0.0,0.06186,0.047368,0.999997,0.13918,28.0,0.2159,0
34,mp3_v0,1,4052.1,1,0,0.0,1.0,4263.6,0.0,0.0,0.06122,0.046847,0.999997,0.13776,32.0,0.2109,0
