slug,label,codec,window,peak_ratio,best_offset
030-06-S-bastien-Tellier-Benny,1,aac_ff320,kbd,14.7262,1020
031-07-Shkoon-Just-Emma-Id,1,aac_ff320,kbd,3.2439,1020
032-05-2kilos-more-Cache-feu,1,aac_ff320,kbd,16.5698,1020
033-01-Daylight-Rising,1,aac_ff320,kbd,17.6627,1020
034-09-Snow-Ghosts-Bowline,1,aac_ff320,kbd,13.2738,1020
035-16-Slow-Air-In-Dropped-D,1,aac_ff320,kbd,10.2778,1020
036-08-Nicolas-Comment-Amaurose,1,aac_ff320,kbd,9.1314,1020
037-02-Super-Cayor-De-Dakar-Emboutaieillage,1,aac_ff320,kbd,7.0562,1020
038-11-Red-Hot-Chili-Peppers-This-velvet-glove,1,aac_ff320,kbd,18.4311,1020
039-13-Kat-Onoma-Change-blues,1,aac_ff320,kbd,16.6341,1020
040-11-Xploding-Plastix-Far-flung-tonic,1,aac_ff320,kbd,15.9763,1020
041-07-Mondkopf-Summer-afternoon-on-the-carribean-se,1,aac_ff320,kbd,1.2469,328
042-04-Keletigui-et-ses-Tambourinis-Nadia,1,aac_ff320,kbd,9.1243,1020
043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr,1,aac_ff320,kbd,17.7059,1020
044-02-Various-Artists-Ka-mea-mea,1,aac_ff320,kbd,12.7381,1020
045-08-DJ-Katapila-Trotro-instrumental,1,aac_ff320,kbd,11.5122,1020
046-04-Clelia-Felix-Shine-so-bright,1,aac_ff320,kbd,17.5476,1020
047-03-Lemma-Souad-Asla-Maachouk-Nbi,1,aac_ff320,kbd,16.0958,1020
048-08-Gabriel-Romero-La-Piragua,1,aac_ff320,kbd,12.869,1020
049-Nigeria-70-vol-1-Lagos-jump-09-Chief-Checker-Afr,1,aac_ff320,kbd,12.7665,1020
050-08-Boubacar-Traor-Pierrette,1,aac_ff320,kbd,14.3815,1020
051-07-Coldcut-x-On-U-Sound-Kajra-mohobbat-wala-feat,1,aac_ff320,kbd,13.1928,1020
052-06-Papa-Wemba-Efeka-mandundu,1,aac_ff320,kbd,13.503,1020
053-03-Jupiter-Okwess-Ofakombolo,1,aac_ff320,kbd,14.5,1020
054-10-George-Bruns-Two-dogs-and-a-cycle,1,aac_ff320,kbd,14.8876,1020
055-01-Godspeed-You-Black-Emperor-Undoing-a-luciferi,1,aac_ff320,kbd,17.5349,1020
056-14-Hlamalani,1,aac_ff320,kbd,16.2604,1020
057-02-Nass-El-Ghiwan-El-Mekkaoui-le-mecquois,1,aac_ff320,kbd,12.1325,1020
058-01-Piny-Runa-Woko,1,aac_ff320,kbd,15.1856,1020
059-01-Genesis-Gospel-Singers-Momma-mo-akoma-ntutu,1,aac_ff320,kbd,9.7529,1020
060-13-Naomi-The-Boys-Bad-loser,1,aac_ff320,kbd,23.9111,1020
061-07-Black-Truth-Rhythm-Band-Imo,1,aac_ff320,kbd,10.2712,1020
062-03-Alpha-Blondy-Jah-glory,1,aac_ff320,kbd,8.0714,1020
063-09-Rodolphe-Burger-Billy-the-kid,1,aac_ff320,kbd,14.113,1020
064-01-Blank-Jones-Feat-Mike-Francis-Someone-like-yo,1,aac_ff320,kbd,14.213,1020
065-05-Quizas-Quizas,1,aac_ff320,kbd,18.6932,1020
066-04-Etoile-de-Dakar-My-wa-wa,1,aac_ff320,kbd,11.8902,1020
067-03-The-Streets-Let-s-push-things-forward,1,aac_ff320,kbd,18.6279,1020
068-08-Eddie-Palmieri-Cal-Tjader-Bamboleate,1,aac_ff320,kbd,13.6941,1020
069-02-Eden-Ahbez-The-wanderer,1,aac_ff320,kbd,10.8193,1020
070-02-Guts-Good-morning,1,aac_ff320,kbd,11.561,1020
071-01-Jaipur-Kawa-Brass-Band-Piya-tu-ab-aaja,1,aac_ff320,kbd,11.4632,1020
072-05-Simo-Moumen-Samsara,1,aac_ff320,kbd,19.814,1020
073-10-Vanilla-Fudge-Eleanor-rigby,1,aac_ff320,kbd,8.9639,1020
